0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
,9.724281089369901,-42.2731300275543,,1.0636971858578514,Mercedes-Benz,E-Class,E 350,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,White,Beige,No,Dubai,Dealer,199000
4.6284193817324,9.762486713228856,23.06218922708768,0.5517434555820357,1.1792031753205543,Jeep,Wrangler Unlimited,Sahara,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,White,Unknown,Yes,Dubai,Dealer,149000
5.350131358471267,9.724223246212075,4.214038395866965,0.5313763601415236,,Lexus,RX-Series,Other,Hatchback,Petrol,Automatic Transmission,,Unknown,Red,Beige,No,Dubai,Owner,46000
4.760717511267887,9.750311806242681,158.7663232341108,0.26198113261461936,0.18343578925771034,Rolls-Royce,Cullinan,Other,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Black,Yes,Dubai,Dealer,1790
5.107891671701283,9.722766065559968,,0.5620157326638568,0.8894073193249411,Mercedes-Benz,C-Class,C300 Luxury,Sports Car,Petrol,Automatic Transmission,1500 - 1999 cc,200 - 299 HP,White,Beige,No,Abu Dhabi,Owner,76000
4.391761274276313,9.714538287428432,-0.3562094055349916,0.30437808341466155,,Jeep,Grand Cherokee,Summit,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,Grey,Tan,Yes,Dubai,Dealer,274999
4.510639920800983,9.729140068999701,-34.09872463228819,0.4844819002408705,0.9139804711168784,Ford,Edge,Titanium,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,300 - 399 HP,Silver,Black,Does not apply,Dubai,Dealer,75000
4.767129555596483,9.715357890175174,151.38144716338002,0.35821328100851235,1.235935831660811,Rolls-Royce,Ghost,Black Badge,Sedan,Petrol,Automatic Transmission,4000+ cc,600 - 699 HP,Gold,Other Color,Yes,Dubai,Dealer,829000
4.5220992200778865,9.731706717179446,-15.655390877630404,0.6778484515565836,1.2095247730396512,BMW,X5,40i M-Kit,SUV,Petrol,Automatic Transmission,Unknown,Unknown,Blue,Brown,Yes,Dubai,Dealer,199000
4.435610805017401,9.676770298259227,,0.27556874527716374,0.22301447715644462,McLaren,765LT,Other,Hard Top Convertible,Petrol,Automatic Transmission,,700 - 799 HP,Blue,Black,Yes,Dubai,Dealer,2300
4.607381929883612,9.729089212438025,-22.636133083796004,0.3776405487274182,1.2011700720261898,Mazda,6,Other,Sedan,Petrol,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,Silver,Beige,Yes,Dubai,Dealer,63000
4.577564319008192,9.74531689856915,-46.63839358485085,0.44565695696741514,0.9192815411397531,Mazda,3,Other,Hatchback,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Red,Unknown,Yes,Dubai,Dealer,105000
4.483992167820427,9.739454601419725,,0.25814127932897435,0.5989861013100183,Rolls-Royce,Cullinan,Black Badge,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Black,No,Dubai,Dealer,1950
4.9407513729540184,9.667861621452921,45.43102197037397,0.3124762342442622,0.5156180458246847,Aston Martin,Vantage,Other,Coupe,Petrol,Automatic Transmission,3500 - 3999 cc,500 - 599 HP,Black,Black,No,Dubai,Dealer,499000
4.873940242907433,,15.183504347859685,0.5227347838586505,1.6974409725738202,Chevrolet,Captiva,LTZ,SUV,Petrol,Automatic Transmission,,,Red,Unknown,No,Abu Dhabi,Dealer,37000
4.43369497135624,9.750149042663153,-23.652393092423765,,0.8885322183751283,Jaguar,F-Pace,Prestige,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Grey,Unknown,Yes,Dubai,Dealer,199990
4.328716287197727,9.748503193213848,-60.55668143932544,0.39540995142834195,0.8405712328625142,Volkswagen,Golf R,R,Hatchback,Petrol,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,Blue,Black,Yes,Dubai,Dealer,229000
4.524521951349148,,,0.5303310886439521,0.8299877402774009,Toyota,Corolla Cross,XL,SUV,Hybrid,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,White,Brown,No,Dubai,Dealer,85000
4.945013261754937,9.718529377041003,68.06611610896397,0.48911284729138566,0.9386215761987987,Mercedes-Benz,G-Class,G 500,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Black,Brown,Does not apply,Dubai,Dealer,465000
4.513924572140574,9.755393517850136,-67.47992184048522,0.315595816176074,1.0343621758170545,Hyundai,Santa Fe,Sport 2.0t,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Burgundy,Black,Yes,Sharjah,Dealer,79000
5.257387249305122,,41.74608874385508,0.5758232032746757,0.8960096841140442,Land Rover,Range Rover,Vogue SE,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,White,Beige,Does not apply,Dubai,Owner,149000
4.546142701438589,9.662033630824505,-62.91418762051399,0.4227106234189016,0.20165391777420535,Ford,Mustang,Ecoboost Premium,Soft Top Convertible,Petrol,Automatic Transmission,,300 - 399 HP,Red,Black,Does not apply,Dubai,Owner,79900
4.265185932849193,9.724893061486203,-23.771208596342884,0.32123412230425363,0.2042076928818659,Nissan,Altima,S,Sedan,Petrol,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,White,Unknown,Yes,Abu Dhabi,Dealership/Certified Pre-Owned,95000
5.0721578807914085,9.677332806343962,-18.003408088638867,0.6458063347287414,0.635333344313686,BMW,4-Series,435i,Coupe,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Grey,Unknown,No,Dubai,Dealer,65000
4.381007772851727,9.733278141789679,,0.42776973888080205,1.2022547128745777,Alfa Romeo,Giulia,Veloce,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Green,Black,Yes,Dubai,Dealership/Certified Pre-Owned,199900
5.134085407832442,9.741685384496863,34.62859822506032,0.5457174260517653,0.1710790736875954,BMW,X3,Xdrive28i,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,White,Unknown,No,Dubai,Owner,50000
5.4855391435803,,-9.802979673022666,0.48454165102577207,2.1859251266213735,Mercedes-Benz,R-Class,R 350 LWB 4matic,Wagon,Petrol,Automatic Transmission,3000 - 3499 cc,200 - 299 HP,Black,Beige,No,Dubai,Owner,25000
